Date,Prediction
2459583.5,Human
2459590.5,Human
2459595.5,Human
2459604.5,Human
2459625.5,Human
2459643.5,Human
2459656.5,Human
2459675.5,Human
2459678.5,Human
2459719.5,Human
2459728.5,Human
2459735.5,Human
2459739.5,Human
2459768.5,Human
2459799.5,Human
2459814.5,Human
2459838.5,Human
2459863.5,Human
2459896.5,Human
2459901.5,Human
2459908.5,Human
2459909.5,Human
2459910.5,Human
2459922.5,Human
2459924.5,Human
2459593.5,Human
2459594.5,Human
2459602.5,Human
2459615.5,Human
2459629.5,Human
2459670.5,Human
2459684.5,Human
2459691.5,Human
2459735.5,Human
2459745.5,Human
2459791.5,Human
2459804.5,Human
2459823.5,Human
2459830.5,Human
2459832.5,Human
2459834.5,Human
2459836.5,Human
2459842.5,Human
2459858.5,Human
2459886.5,Human
2459890.5,Human
2459892.5,Human
2459904.5,Human
2459910.5,Human
2459914.5,Human
2459582.5,Human
2459586.5,Human
2459603.5,Human
2459618.5,Human
2459648.5,Human
2459660.5,Human
2459679.5,Human
2459688.5,Human
2459691.5,Human
2459712.5,Human
2459720.5,Human
2459722.5,Human
2459765.5,Human
2459790.5,Human
2459809.5,Human
2459830.5,Human
2459835.5,Human
2459853.5,Human
2459866.5,Human
2459870.5,Human
2459896.5,Human
2459907.5,Human
2459934.5,Human
2459936.5,Human
2459940.5,Human
2459610.5,Human
2459612.5,Human
2459629.5,Human
2459646.5,Human
2459660.5,Human
2459665.5,Human
2459690.5,Human
2459700.5,Human
2459706.5,Human
2459708.5,Human
2459726.5,Human
2459770.5,Human
2459779.5,Human
2459780.5,Human
2459786.5,Human
2459797.5,Human
2459863.5,Human
2459865.5,Human
2459870.5,Human
2459871.5,Human
2459885.5,Human
2459909.5,Human
2459922.5,Human
2459929.5,Human
2459934.5,Human
